Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat,Province,Geographical Zone,City,District,Address
雅鲁,,True,False,False,False,False,122.144058,48.549965,内蒙古自治区,华北,呼伦贝尔市,牙克石市,呼伦贝尔市-牙克石市-巴林镇
大官屯,DTT,True,True,True,False,False,123.870773,41.856903,辽宁省,东北,抚顺市,新抚区,抚顺市-新抚区-大官屯站
宜宾南,,True,False,False,False,False,104.546628,28.704177,四川省,西南,宜宾市,叙州区,宜宾市-叙州区-柏溪街道渔王桥路
百宜,FHW,True,True,True,False,False,106.982544,26.824854,贵州省,西南,贵阳市,乌当区,贵阳市-乌当区-红旗村下中寨组
池州,IYH,True,True,True,True,True,117.521488,30.619663,安徽省,华东,池州市,贵池区,池州市-贵池区-永明路
连湖,,True,False,False,False,False,108.445412,29.692207,重庆市,西南,重庆市,彭水苗族土家族自治县,重庆市-彭水苗族土家族自治县-连湖互通
营山,NUW,True,True,True,False,False,106.568581,31.064946,四川省,西南,南充市,营山县,南充市-营山县-景阳大道1号
固安,GFP,True,True,True,False,False,116.323665,39.425204,河北省,华北,廊坊市,固安县,廊坊市-固安县-固安镇京九西路
清原,QYT,True,True,True,False,False,124.935598,42.104787,辽宁省,东北,抚顺市,清原满族自治县,抚顺市-清原满族自治县-柴河路49号
阿房宫,EGY,True,True,True,False,False,108.828209,34.269119,陕西省,西北,西安市,未央区,
新津南,ITW,True,True,True,False,False,103.856436,30.348726,四川省,西南,成都市,新津区,成都市-新津区-邓双镇兴化5路1388号
烟筒山,YSL,True,True,True,False,False,126.030724,43.286503,吉林省,东北,吉林市,磐石市,吉林市-磐石市-烟筒山镇站前街1号
临湘,LXQ,True,True,True,False,False,113.484109,29.474553,湖南省,华中,岳阳市,临湘市,岳阳市-临湘市-长安东路
大理,DKM,True,True,True,False,False,100.249485,25.589414,云南省,西南,大理白族自治州,大理市,大理白族自治州-大理市-巍山路261号
三家寨,SMM,True,True,True,False,False,104.692162,26.116655,贵州省,西南,六盘水市,水城区,六盘水市-水城区-营盘乡
永康,RFH,True,True,True,False,False,120.02069,28.909068,浙江省,华东,金华市,永康市,金华市-永康市-江南街道西周村旁
创业村,CEX,True,True,True,False,False,124.800117,46.405254,宁夏回族自治区,西北,中卫市,中宁县,
定边,DYJ,True,True,True,True,True,107.57638,37.561603,陕西省,西北,榆林市,定边县,榆林市-定边县-贺圈镇西
福田,NZQ,True,True,True,False,False,114.057004,22.538171,广东省,华南,深圳市,福田区,深圳市-福田区-福华一路与益田路交叉口
靖西,JMZ,True,True,True,False,False,106.391054,23.147446,广西壮族自治区,华南,百色市,靖西市,百色市-靖西市
扎音河,,True,False,False,False,False,126.942902,47.593864,黑龙江省,东北,绥化市,海伦市,绥化市-海伦市-海北镇
北屯,BYP,True,True,True,False,False,87.759823,47.324107,新疆维吾尔自治区,西北,,北屯市,北屯市-阿勒泰市北屯市北兴路
安塘,ATV,True,True,True,False,False,111.708191,38.815819,山西省,华北,忻州市,岢岚县,忻州市-岢岚县-安塘村
壮志,ZUX,True,True,True,False,False,124.849289,46.641327,黑龙江省,东北,大庆市,让胡路区,大庆市-让胡路区-西苑南路
三水南,RNQ,True,True,True,False,False,112.870834,23.113546,广东省,华南,佛山市,三水区,佛山市-三水区-324国道东侧
白音他拉,BID,True,True,True,False,False,120.832687,43.073166,内蒙古自治区,华北,通辽市,奈曼旗,通辽市-奈曼旗-白音他拉镇111国道
魏家泉,,True,False,False,False,False,119.426491,35.629341,新疆维吾尔自治区,西北,昌吉回族自治州,阜康市,昌吉回族自治州-阜康市
泉水,,True,False,False,False,False,128.879669,42.666218,辽宁省,东北,本溪市,本溪满族自治县,本溪市-本溪满族自治县-305国道
武胜,WSE,True,True,True,False,False,106.295764,30.348772,四川省,西南,广安市,武胜县,广安市-武胜县-通站大道
师宗,SEM,True,True,True,True,True,104.019308,24.825473,云南省,西南,曲靖市,师宗县,曲靖市-师宗县-丹凤镇江召公路城东南旁边
祁东,QMQ,True,True,True,True,True,112.065915,26.759421,湖南省,华中,衡阳市,祁东县,衡阳市-祁东县-星洪大道与星安路交汇处南侧
三门县,OQH,True,True,True,True,True,121.395777,29.104873,浙江省,华东,台州市,三门县,台州市-三门县-亭旁镇
天门,TMN,True,True,True,True,True,113.316786,30.8653,湖北省,华中,,天门市,天门市-皂市镇红花堰村
枣庄东,ZNK,True,True,True,False,False,117.548602,34.866745,山东省,华东,枣庄市,市中区,枣庄市-市中区-车站北路与双山路交叉口
