Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat
江桥,JQX,True,True,True,False,False,123.684319,46.771297
安图,ATL,True,True,True,False,False,128.908435,43.115611
石门村,,True,False,False,False,False,116.63141951219944,40.134603060579096
定州东,DOP,True,True,True,False,False,115.074893,38.508602
包头西,,True,False,False,False,False,109.751581,40.611732
中卫南,,True,False,False,False,False,105.196902,37.499972
隆化,UHP,True,True,True,False,False,117.750747,41.328332
彭泽,PZG,True,True,True,True,True,116.543034,29.866024
太阳山,TYJ,True,True,True,False,False,106.57452192104266,37.45786568707357
临沂,LVK,True,True,True,False,False,118.344036,35.036675
西乌旗,XWC,True,True,True,False,False,117.563585,44.624523
虎尔虎拉,,True,False,False,False,False,123.550972,47.247787
四方台,STB,True,True,True,False,False,131.322193,46.594757
台安,TID,True,True,True,False,False,122.430924,41.445726
北京南,VNP,True,True,True,True,True,116.379064,39.864462
艾不盖,,True,False,False,False,False,109.859642,41.529869
峨边,EBW,True,True,True,False,False,103.27195,29.253263
曾家坪子,ZBW,True,True,True,False,False,103.981239,27.699223
白云鄂博,BEC,True,True,True,False,False,106.63375,26.682375
铜鼓溪,,True,False,False,False,False,114.36099040901854,28.51966327986532
岔河,,True,False,False,False,False,103.870789,27.837521
吐哈,THR,True,True,True,False,False,90.531769,43.060741
泗洪,GQH,True,True,True,False,False,118.218914,33.606335
张掖西,ZEJ,True,True,True,True,True,100.428041,38.922756
大丰,KRQ,True,True,True,False,False,120.455864,33.219403
马踏,PWQ,True,True,True,False,False,103.99675,29.522423
石桥子,SQT,True,True,True,False,False,123.723595,41.451534
白马井,BFQ,True,True,True,False,False,110.673195,22.340151
离堆公园,INW,True,True,True,False,False,103.613289,30.996822
双子河,,True,False,False,False,False,128.848206,47.837677
岩会,AEP,True,True,True,False,False,113.747948,37.885891
石家庄北,VVP,True,True,True,True,True,114.465122,38.065566
枣子林,,True,False,False,False,False,106.104813,28.558975
核桃园,,True,False,False,False,False,108.736794,29.475695
大口屯,DKP,True,True,True,False,False,117.264549,39.604462
李子沟,,True,False,False,False,False,103.926849,27.060669
明城,MCL,True,True,True,False,False,126.016739,43.194023
鱼儿沟,,True,False,False,False,False,87.888596,42.836681
宜宾,YBW,True,True,True,False,False,104.601037,28.751847
瓦房店,WDT,True,True,True,True,True,122.008904,39.625262
惠东,KDQ,True,True,True,False,False,114.793442,22.84455
苍坪,,True,False,False,False,False,107.766685,32.01059
海东西,HDO,True,True,True,False,False,102.055019,36.50941
奇峰塔,QVP,True,True,True,False,False,115.232086,39.490753
岷县,MXJ,True,True,True,False,False,104.03688,34.438076
南仇,NCK,True,True,True,False,False,118.254234,36.747513
荣昌北,RQW,True,True,True,True,True,105.636351,29.432418
东丰,DIL,True,True,True,False,False,125.545583,42.654451
开安,KAT,True,True,True,False,False,125.205498,44.166187
小关溪,,True,False,False,False,False,103.97126,27.980373
安阳,AYF,True,True,True,True,True,114.340605,36.104377
朱家窑,ZUJ,True,True,True,False,False,104.005325,36.502163
屏边,PBM,True,True,True,False,False,103.637449,23.01404
沙井西,,True,False,False,False,False,100.268867,39.100895
玉山南,YGG,True,True,True,True,True,118.29276,28.647931
北台,BTT,True,True,True,False,False,123.650406,41.23838
克拉玛依,KHR,True,True,True,False,False,84.89458,45.528862
海湾,RWH,True,True,True,False,False,121.548759,30.861908
嘉祥,JUK,True,True,True,False,False,116.358534,35.392737
王团庄,WZJ,True,True,True,False,False,103.078079,37.657616
钱家店,,True,False,False,False,False,122.52359,43.720947
武安,WAP,True,True,True,False,False,114.212066,36.676465
高桥镇,GZD,True,True,True,False,False,121.005669,40.898262
安庆,AQH,True,True,True,True,True,117.065444,30.549292
长山屯,CVT,True,True,True,False,False,124.469292,45.314045
清远,QBQ,True,True,True,False,False,113.133668,23.694164
项城,ERN,True,True,True,True,True,114.890376,33.413054
凤凰机场,FJQ,True,True,True,False,False,109.60552668830216,27.95384780972621
茨冲,,True,False,False,False,False,105.108795,26.491848
宾西北,BBB,True,True,True,False,False,127.173302,45.756504
花家庄,HJM,True,True,True,False,False,104.482857,25.784878
三关口,OKJ,True,True,True,False,False,106.374268,35.678436
保家楼,,True,False,False,False,False,108.317871,29.439196
通州,TOP,True,True,True,False,False,121.075127,32.077256
吐鲁番北,TAR,True,True,True,True,True,89.111008,43.022992
卧里屯,WLX,True,True,True,False,False,125.21846,46.470146
讷尔克气,,True,False,False,False,False,124.248779,50.155769
三阳,SYU,True,True,True,True,True,113.585464,28.648495
龙爪沟,LZT,True,True,True,False,False,124.648621,40.819572
文水,WEV,True,True,True,True,True,112.078031,37.439759
富拉尔基,FRX,True,True,True,False,False,123.646697,47.210238
准格尔,ZEC,True,True,True,False,False,111.21987970815806,39.87795262605034
青田,QVH,True,True,True,True,True,120.280222,28.136994
山坡东,SBN,True,True,True,False,False,114.35994,30.086227
屏山,,True,False,False,False,False,104.36734350025658,28.855010743489046
潼南,TVW,True,True,True,True,True,105.878231,30.219136
焦作东,WEF,True,True,True,False,False,113.590747,35.03439
太姥山,TLS,True,True,True,True,True,120.22448,27.126926
太谷西,TIV,True,True,True,False,False,112.509459,37.448215
励家,,True,False,False,False,False,122.355469,41.737415
霍州,HZV,True,True,True,False,False,111.71959,36.585965
云浮东,IXQ,True,True,True,False,False,112.139113,23.012199
九郎山,KJQ,True,True,True,False,False,108.2304,24.075603
明港,MGN,True,True,True,False,False,114.050049,32.464859
香兰,XNB,True,True,True,False,False,129.757858,46.652233
珠斯花,ZHD,True,True,True,False,False,119.714615,45.581661
公积坂,,True,False,False,False,False,110.36692,40.558571
丰顺,FUQ,True,True,True,False,False,116.190711,23.751424
兰岗,LNB,True,True,True,False,False,129.412201,44.267406
海城西,HXT,True,True,True,True,True,122.659654,40.914221
索图罕,SHX,True,True,True,False,False,122.884521,50.632088
大关,RGW,True,True,True,False,False,103.979565,27.832692
中嘴,,True,False,False,False,False,107.849014,29.301786
一步滩,,True,False,False,False,False,104.671143,28.901863
石人城,SRB,True,True,True,False,False,126.896248,46.299351
金河,JHX,True,True,True,False,False,121.500816,51.33754
临沂北,,True,False,False,False,False,118.443496,35.115658
河东机场,,True,False,False,False,False,117.548477,35.228198
河津,HJV,True,True,True,False,False,110.725716,35.587381
张掖,ZYJ,True,True,True,False,False,100.518809,38.97364
天桥岭,TQL,True,True,True,False,False,129.63934277994855,43.592165668263966
弥勒,MLM,True,True,True,False,False,103.410303,24.335546
北票南,RPD,True,True,True,False,False,120.818343,41.702039
天津,TJP,True,True,True,True,True,117.210012,39.137817
淮阳南,,True,False,False,False,False,114.866587,33.730268
富锦,FIB,True,True,True,False,False,132.046291,47.23753
抚顺北,FET,True,True,True,True,True,123.918522,41.888747
漫流河,,True,False,False,False,False,112.897995,34.669781
咸宁东,XKN,True,True,True,False,False,114.345992,29.865181
上园,SUD,True,True,True,False,False,120.980728,41.613544
祁门,QIH,True,True,True,False,False,117.729917,29.846379
韩府湾,HXJ,True,True,True,False,False,106.14344,36.570175
黄松甸,HDL,True,True,True,False,False,127.727875,43.641914
昆明南,KOM,True,True,True,True,True,102.861489,24.870437
灵石东,UDV,True,True,True,True,True,111.915571,36.87969
汉中,HOY,True,True,True,True,True,107.029958,33.090738
长武,CWY,True,True,True,False,False,107.822677,35.272028
孔垄,,True,False,False,False,False,115.898048,29.911366
林源,LYX,True,True,True,False,False,124.763016,46.344074
双龙湖,OHB,True,True,True,False,False,107.21128621843982,29.971390454844872
连珠山,,True,False,False,False,False,131.77246217834752,45.49200181388699
孙镇,OZY,True,True,True,False,False,109.766075,34.977001
姚渡,AOJ,True,True,True,False,False,105.463684,32.837898
流水沟,USP,True,True,True,False,False,117.144379,40.706501
梁平,UQW,True,True,True,False,False,107.817572,30.715033
汉源,WHW,True,True,True,False,False,102.905757,29.232608
尼木,NMO,True,True,True,False,False,90.28378,29.328144
南宁西,NXZ,True,True,True,False,False,107.974633,22.888187
满归,MHX,True,True,True,False,False,122.075043,52.03653
观音机场,,True,False,False,False,False,107.448631,30.675123
