train_no,origin_station,destination_station,station_train_code
39000D315404,汉口,南通,D3151
5f000D315220,南通,汉口,D3152
5f000D315220,南通,汉口,D3153
39000D315404,汉口,南通,D3154
39000D315806,汉口,南通,D3155
5f000D315630,南通,汉口,D3156
5f000D315630,南通,汉口,D3157
39000D315806,汉口,南通,D3158
56000D316511,杭州东,龙岩,D3165
5c000D31670A,龙岩,杭州东,D3166
5c000D31670A,龙岩,杭州东,D3167
56000D316511,杭州东,龙岩,D3168
56000D316901,杭州东,福州南,D3169
5n000D317005,福州南,杭州东,D3170
56000D317100,杭州东,福州南,D3171
5n000D317200,福州南,杭州东,D3172
5l000D3201B0,上海虹桥,厦门北,D3201
5n000D32020H,厦门北,上海虹桥,D3202
5l000D3205C2,上海虹桥,厦门北,D3205
5n000D32060E,厦门北,上海虹桥,D3206
56000D321100,湖州,厦门北,D3211
5n000D321208,厦门北,湖州,D3212
5e000D321300,宁波,厦门,D3213
5n000D321420,厦门北,宁波,D3214
5e000D321521,宁波,厦门北,D3215
5n000D32160J,厦门北,宁波,D3216
56000D321780,杭州东,厦门北,D3217
58000D321810,厦门,杭州东,D3218
5e000D321931,宁波,厦门北,D3219
5n000D32200D,厦门北,宁波,D3220
56000D323331,杭州东,厦门,D3233
58000D323408,厦门,杭州东,D3234
5l000D323502,南京南,福州南,D3235
5n000D323606,福州南,南京南,D3236
5n000D324001,厦门北,南京南,D3237
5l000D323900,南京南,厦门北,D3238
5l000D323900,南京南,厦门北,D3239
5n000D324001,厦门北,南京南,D3240
58000D326408,福州,汉口,D3261
39000D326208,汉口,福州,D3262
39000D326208,汉口,福州,D3263
58000D326408,福州,汉口,D3264
4e000D32650E,武汉,福州,D3265
58000D32660I,福州,武汉,D3266
5n000D32740E,厦门北,汉口,D3271
39000D327206,汉口,厦门北,D3272
39000D327206,汉口,厦门北,D3273
5n000D32740E,厦门北,汉口,D3274
5n000D32780E,厦门北,汉口,D3275
39000D32760A,汉口,厦门北,D3276
39000D32760A,汉口,厦门北,D3277
5n000D32780E,厦门北,汉口,D3278
4e000D328102,武汉,景德镇北,D3281
57000D328302,景德镇北,武汉,D3282
57000D328302,景德镇北,武汉,D3283
4e000D328102,武汉,景德镇北,D3284
6z000D328500,梅州西,宜昌东,D3285
39000D328610,汉口,梅州西,D3286
39000D328610,汉口,梅州西,D3287
6z000D328500,梅州西,宜昌东,D3288
4e000D328901,武汉,厦门北,D3289
5n000D329005,厦门北,武汉,D3290
5l000D329131,上海虹桥,龙岩,D3291
5c000D329308,龙岩,上海虹桥,D3292
5c000D329308,龙岩,上海虹桥,D3293
5l000D329131,上海虹桥,龙岩,D3294
5l000D329541,南京南,龙岩,D3295
5c000D32970B,龙岩,南京南,D3296
5c000D32970B,龙岩,南京南,D3297
5l000D329541,南京南,龙岩,D3298
5e000D330150,宁波,南昌西,D3301
5u000D330307,南昌西,宁波,D3302
5u000D330307,南昌西,宁波,D3303
5e000D330150,宁波,南昌西,D3304
5e000D330560,宁波,厦门北,D3305
5n000D33060F,厦门北,宁波,D3306
56000D330721,杭州东,深圳北,D3307
6i000D330801,深圳北,杭州东,D3308
5l000D332340,上海虹桥,景德镇北,D3323
57000D332407,景德镇北,上海虹桥,D3324
5n000D33330F,福州南,深圳北,D3333
6i000D333405,深圳北,福州南,D3334
5n000D33370A,福州南,深圳北,D3337
6i000D333806,深圳北,福州南,D3338
5n000D33390L,福州南,深圳北,D3339
6i000D33400A,深圳北,福州南,D3340
39000D339800,汉口,杭州东,D3395
56000D339701,杭州东,汉口,D3396
56000D339701,杭州东,汉口,D3397
39000D339800,汉口,杭州东,D3398
78000D356107,贵阳北,北海,D3561
